,text,is_humor,target_1,humor_rating,target_2,humor_controversy,target_3,offense_rating,target_4
26,"I'm getting a little tired of these people coming to my door telling me I need to be ""saved"" or ""I'll burn""... Stupid firefighters.",1,1.0,0.19697148,3.05,0,0.0,0.0,0.65
27,My wife hates it when our next door neighbor sunbathes topless in her yard. Personally I'm on the fence.,1,1.0,0.23156676,3.05,0,1.0,0.0,0.4
28,How are babies different from feminists? Babies grow up and stop crying.,1,1.0,0.27512872,2.68,0,1.0,3.0355995,2.6
29,What do you call an iguana that thinks it's a dog? A reptile dysfunction.,1,1.0,0.12303214,3.3,0,1.0,0.15914474,0.1
30,"How are you guys surviving the hiatus?! Also, what are your expectations for season 10?",0,0.0,0.14370933,0.0,1,0.0,0.0,0.0
31,"The biggest surprise in the upcoming 'Han Solo' prequel is that he was born Henry Solowitz in Parsippany, NJ.",1,1.0,0.20573176,2.36,1,1.0,0.0,0.05
32,Ya Gay Aunties return Wednesday Jan 8! Pullin no punches and lovin on the chillren like never before in 2020!! ya gay aunties is a weekly podcast about queer adulting,0,0.0,0.01905325,0.0,1,0.0,0.0,1.25
33,Do you think friendship breakups tend to be much hard to deal with than romantic ones? Auntie Red Tweet Tea,0,0.0,0.04224029,0.0,1,0.0,0.0,0.15
34,[Doctor looking at my x-rays] Doctor: This is exactly what I was afraid of Me: What? Doctor: Skeletons,1,1.0,0.19230059,2.47,0,1.0,0.37291396,0.0
35,What did the cannibal choose as his last meal? Five guys.,1,1.0,0.2921134,2.1,0,1.0,0.73535,0.0
36,Yogurt is the wonder food and an excellent detox food that helps the liver to rid the body of toxins. detox,0,0.0,0.015589595,0.0,1,0.0,0.0,0.0
37,"If you’re “not into politics”, then you are complicit in our country’s horrors.",0,0.0,0.13702163,0.0,1,0.0,0.0,0.2
38,"The word ""photography"" comes from two Greek words that mean ""writing with light.""",0,0.0,0.0,0.0,1,0.0,0.0,0.0
39,Love doesn't hurt. Loving the wrong person does,0,0.0,0.020765752,0.0,1,0.0,0.0,0.0
40,"In life we make lots of choices, but mental illness is not a choice. Someone who may look happy on the outside may be suffering on the inside. If you are affected by mental health please don't be ashamed to talk to someone about it. Don't suffer alone. World Mental Health Day",0,0.0,0.0,0.0,1,0.0,0.0,0.0
41,Is that mine? I was walking down the street when I saw black guy with a laptop. Is that mine? I thought. It looks exactly like mine... but that can't be... Mine should be at home cleaning my shoes.,1,1.0,0.35716686,1.6,0,0.0,1.5447527,3.85
42,Seriously! Go watch The Smalls World Show!,0,0.0,0.0,0.0,1,0.0,0.0,0.0
43,"The best gift a man can give to his woman is his time, attention, and love.",0,0.0,0.0,0.0,1,0.0,0.0,0.0
44,"Where is the lift? American: You mean the elevator? English: Yes, we call it a lift. American: It's called an elevator. We invented it. English: And we invented the language.",1,1.0,0.26405376,2.47,0,0.0,0.59198904,0.2
45,"A man who has no right arm and no right leg falls off his wheelchair Thankfully, a woman passing by noticed him and approached him, offering some help. ""Are you alright?"" ""No, I'm not. I'm all left.""",1,1.0,0.27540946,2.15,0,0.0,0.7414967,1.6
46,We must be willing to let go of the life we planned so as to have the life that is waiting for us.,0,0.0,0.0,0.0,1,0.0,0.0,0.0
47,You can't sneeze while you're asleep.,1,0.0,0.13023138,0.0,0,0.0,0.0,0.0
48,"My wife had to buy some new bras, so I guess we'll be remortgaging our house again.",1,1.0,0.20843326,2.16,0,1.0,0.3929752,0.5
49,What is the prettiest thing about a DC girl? Her resume.,1,1.0,0.27367178,1.11,0,0.0,0.9951446,0.85
50,"I like to imagine that the guy who invented the umbrella was going to call it the brella, but he hesitated.",1,1.0,0.20676693,3.15,0,1.0,0.0,0.0
51,Male mice that eat yogurt have larger testicles.,0,0.0,0.0,0.0,1,0.0,0.0,0.2
52,"When checking out at the grocery store, I always pick the cashier who's most likely to have sex with me. I always end up at the self check out.",1,1.0,0.22833358,3.05,0,0.0,0.92282116,0.7
53,"""Human skull found in Greece shows Homo Sapiens left Africa almost 160,000 years earlier than thought"" Damn right we did, look at the state of the poor bastards who decided to stay.",1,1.0,0.2621389,2.11,0,1.0,2.8231132,2.7
54,Working on a QNA VLOG rn with ma love! Ask away....,0,0.0,0.0,0.0,1,0.0,0.0,0.15
55,"this valentines day, remember that mark zuckerberg sees every nude you send through facebook messenger with his empty fish eyes",1,1.0,0.29372695,2.05,0,0.0,0.34783942,0.0
56,How do the Chinese select their baby names? They chuck a tin can down the stairs Ping Wong  ching  Pang,1,1.0,0.185117,2.4,0,1.0,2.1701639,3.8
57,A Japanese man once tried to fake his own death. His family didn't bereave him.,1,1.0,0.25728023,1.79,0,0.0,2.3585968,2.25
58,[First day as a waiter] Me: Sir how would you like your steak? Customer: Well done. Me: Thanks that means a lot. I was terribly nervous earlier.,1,1.0,0.25036678,2.65,0,1.0,0.0,0.0
59,"A man inserted an advertisement in the classifieds ""Wife Wanted"". The next day, he received 1000 of replies, all reading: ""You can have mine."" Free delivery also available at your door step",1,1.0,0.26876476,2.5,0,1.0,0.8704477,1.1
60,"""Even though I've tried, spaces between us, hold all our secrets, leaving us speechless.' - Spaces.",0,0.0,0.0,0.0,1,0.0,0.0,0.0
61,What's the most Jewish instrument? The Sachs,1,1.0,0.17107916,1.6,0,0.0,1.0596184,1.9
62,"If you're frustrated with dating because you have to do all the work and the girl doesn't, then dating, relationships and success in general is not for you. Not yet anyway. If you're complaining about the challenges of life, you're not ready.",0,0.0,0.0920513,0.0,1,0.0,0.0,0.4
63,Caffeine is the most commonly used psychoactive drug in the world.,0,0.0,0.0065591037,0.0,1,0.0,0.0,0.0
64,Whenever we go out I always buy my wife two drinks. One for each face.,1,1.0,0.19752023,1.5,0,0.0,0.29327738,1.5
65,Why do Scotsmen wear kilts. Cause a sheep can hear a zipper a mile away.,1,1.0,0.22103667,2.53,0,1.0,1.1062058,1.2
66,"Bumblebees have parasitic ""doppelgangers"" called cuckoo bumblebees. They look enough alike that they're able to sneak into a nest, kill the queen, and trick the workers into feeding their offspring. Eventually, they take over the whole nest then move to another target.",0,0.0,0.029675782,0.0,1,0.0,0.0,0.0
67,Last night I reached for my liquid Viagra and accidentally swigged from a bottle of Liquid Paper. I woke this morning with a huge correction.,1,1.0,0.16579956,2.8,0,0.0,0.0,0.45
68,I was pulled over last night and the officer asked me if I had a police record. I told him 'no but I have a couple albums by Sting.',1,1.0,0.19322138,2.8,0,0.0,0.0,0.1
69,ME: I'm such an original. Truly one of a kind. ALSO ME: [holding a glass of white wine] I love to laugh.,1,1.0,0.16834745,1.79,0,1.0,0.0,0.0
70,"Out of the nearly 200 countries in the world, only 22 of them have never experienced a British invasion.",0,0.0,0.03176008,0.0,1,0.0,0.0,0.35
71,I'm tryna watch this Loma Linares FIGHT TONIGHT! Somebody invite me to their casa! I'll bring some chelas,1,0.0,0.2826788,0.0,1,0.0,0.0,0.0
72,You think you know things and nothing else matters. People do matter. I matter. We matter. So you don't get to toss me aside. I won't let you.,0,0.0,0.0,0.0,1,0.0,0.0,0.0
73,My girlfriends period is on my birthday. Why does she always have to be so anal about everything?,1,1.0,0.20861834,2.33,0,0.0,1.2062333,1.25
74,Envy is the burning desire to have everybody else become as pathetic as you,1,1.0,0.19207612,2.0,0,0.0,0.0,0.25
75,"Two deer walk out of a gay bar... One of them turns to the other and says ""I can't believe I blew thirty bucks in there""",1,1.0,0.2299597,2.75,0,1.0,1.9501868,1.15
76,Reminds me of scene from Jaws.... LOL,1,1.0,0.03682916,0.6,1,0.0,0.0,0.0
77,"""Allahu Akbar"" actually has two meanings. The first meaning is.... 'God is Great' And the second meaning is.... ""Run like fuck""",1,1.0,0.22337417,1.7,0,1.0,3.2394557,2.75
78,"My Dad: I agree with Occam, the simplest explanation is usually the correct one Also My Dad: Apple changed my password again",1,1.0,0.23577684,1.56,0,0.0,0.0,0.15
79,I was so nervous when airport security started frisking me that I lifted my arms and accidentally started doing jumping jacks,1,1.0,0.1443152,2.18,0,1.0,0.0,0.0
80,ME AT 21: I wish I had enough money to change the world. ME AT 31: I wish I had enough money to change my Brita filter.,1,1.0,0.28406876,2.8,0,1.0,0.0,0.0
81,Did you hear about the limo driver who was in business for 25 years without a single customer? All that time and nothing to chauffeur it.,1,1.0,0.23253292,2.7,1,0.0,0.0,0.0
82,"Personally, I don't agree with cannabis being legalised in America. The last thing those fat fuckers need is the munchies.",1,1.0,0.21380696,2.12,0,1.0,2.6788936,2.1
83,"When you're little, night time is scary because there are monsters hiding right under the bed....",1,0.0,0.18506448,0.0,0,0.0,0.0,0.2
84,My least-favorite comeback of all time: measles.,1,1.0,0.18646783,2.0,0,1.0,0.29861164,0.35
85,"""I don't care what they say. I'm in love with you"" - Leona Lewis.",0,0.0,0.0,0.0,1,0.0,0.0,0.0
86,It's too easy to read about politics these days. I miss the days where you had to decide if reading about it was worth the trip up to the roof to retrieve your newspaper.,1,1.0,0.25548157,1.79,0,1.0,0.0,0.1
87,Got a new job at the guillotine factory. I'll beheading there shortly.,1,1.0,0.24908577,3.6,0,1.0,0.0,0.25
88,Thank You to our brave military men and women! Always Remember Sept 11 USA,0,0.0,0.0,0.0,1,0.0,0.0,0.0
89,[job interview] Boss: Your resume says you're a perfectionist Me: Yep! Boss: Except you spelled perfectionist wrong Me: I'm sure it was a one off Boss: You had 15 other typos Me: I'm a perfectionist other than that Boss: You're wearing your shoes on the wrong feet Me: Hmm,1,1.0,0.1432699,2.2,0,1.0,0.0,0.0
90,Why don't cannibals eat clowns? Because they taste funny.,1,1.0,0.27053583,2.6,0,0.0,1.2820002,0.0
91,If it hurts when you piss. Urine trouble.,1,1.0,0.21229658,2.5,0,0.0,0.0,0.0
92,Why do North Koreans draw lines so well? They have a Supreme Ruler.,1,1.0,0.21432878,3.05,0,1.0,1.53451,0.9
93,"Reindeer are the only mammals that can see ultraviolet light. It helps them see things in the glowing white of the Arctic that they would otherwise miss, like white fur, and urine.",0,0.0,0.0034166873,0.0,1,0.0,0.0,0.0
94,when she says that she's bored it means she wants you to come up with a way to spend time with her,0,0.0,0.00025115907,0.0,1,0.0,0.0,0.1
95,"On an island vacation with my family. If I get attacked by a shark, don't blame him - the chum Speedo was my idea.",1,1.0,0.20076284,1.75,0,0.0,0.0,0.0
96,"Despite having no brains, jellyfish still need to sleep. Sometimes they even struggle to wake up.",0,0.0,0.0,0.0,1,0.0,0.0,0.0
97,Did you know that Iceland is only one sea away from Ireland?,1,1.0,0.20018505,2.5,1,0.0,0.0,0.0
98,"My kid wanted to get a pet spider from the pet store, but they are really expensive. I can get a really cheap one off the web.",1,1.0,0.21624488,3.05,0,0.0,0.0,0.0
99,"In an effort to be sexier for my wife, I figured I'd pluck 60% of my chest hair... 3 of the 5.",1,1.0,0.20154339,1.8,0,1.0,0.34825042,0.0
100,Sweat contains small amounts of antibiotics that can combat some bacteria found naturally on the skin skin sweat,0,0.0,0.0,0.0,1,0.0,0.0,0.0
101,I find sex is just like peeling a potato really. There's usually a knife in my hand.,1,1.0,0.2646714,1.85,0,1.0,1.1340181,1.8
102,"To go out with a girl that you only see for a few minutes at a time, flirt with her and get her to want to come back and stick around longer",0,0.0,0.0,0.0,1,0.0,0.0,0.15
103,Roll call! Boxx? Brian? Chalupny? Engen? Harris? Good to have you...,0,0.0,0.0,0.0,1,0.0,0.0,0.0
104,How much hummus did the anorexic Arab eat? A tahini bit!,1,1.0,0.20474261,1.84,0,0.0,1.5960522,2.65
105,"""This time it's over over"" ""I can't believe you're doing this over walkie-talkies over""",1,1.0,0.038005397,2.6,0,1.0,0.0,0.0
106,"When my wife is mad at me for something stupid I did in one of her dreams, I always ask her how she responded to in the dream to seem like I'm interested and to find out if it's something I could get away with it in real life.",1,1.0,0.18268347,1.93,0,0.0,0.0,0.1
107,I misplaced Dwayne Johnson's cutting tool for the origami workshop... I can't believe I lost the Rock's Paper Scissors.,1,1.0,0.26006916,2.95,0,1.0,0.015891198,0.0
108,me: [sadly] just leave the bottle there bartender: [setting down the apple juice] ok,1,1.0,0.08084193,2.74,0,1.0,0.0,0.0
109,"""And most of all, books. They were, in and of themselves, reasons to stay alive. Every book written is the product of a human mind in a particular state. Add all the books together and you get the end sum of humanity."" —Matt Haig, Reasons to Stay Alive Books Connect Us",0,0.0,0.0037487596,0.0,1,0.0,0.0,0.0
110,"Who needs a phone to distract you from reality, when you have plenty of imaginary arguments in your head to keep you busy.",1,1.0,0.22270903,2.28,0,0.0,0.0,0.0
111,"Have to remember my stocked fridge is to last my family for weeks, not a challenge for me to finish all in one day 🙄",0,1.0,0.022096992,2.35,1,0.0,0.0,0.0
112,"I was recently burgled. They took my life preserver, my AED and my portable oxygen tank. It was my entire life savings.",1,1.0,0.20405869,2.06,0,1.0,0.0,0.15
113,"ME: Look, I don't want to kill you, I'll open this window so you can fly out. BUG: [smashing into wall several times] Like this? ME: No. BUG: [Circling open window, then smashing into roof several times] Ah. I see. Like this. ME: N- BUG: [flying in my open mouth] Got it.",1,1.0,0.17245518,1.55,0,1.0,0.0,0.0
114,The construction of the Hubble Space Telescope's mirrors required such precision that they could only be tested at night to avoid vibrations from cars driving on the freeway.,0,0.0,0.0,0.0,1,0.0,0.0,0.0
115,"My ex-girlfriend just told me she wants us to get back together again. MAN! I sure am LUCKY! I mean, first I win the lottery and now THIS!",1,1.0,0.25753155,2.61,0,0.0,0.19872467,0.1
116,"How many Mexicans does it take to pave a driveway? Six, if you slice them thin enough.",1,1.0,0.18967801,1.63,0,0.0,3.5351346,2.9
117,Every expert was at one time a beginner,0,0.0,0.05171386,0.0,1,0.0,0.0,0.0
118,"I've never participated in a ""fun run"" but I did sprint across the house when the pizza delivery guy arrived, and that was pretty enjoyable.",1,1.0,0.11911327,2.58,0,0.0,0.0,0.0
119,"After my accident, I woke up in hospital with a sexy nurse standing over me. She said, 'You may not feel anything from the waist down.' 'Fair enough' I replied, and felt her breasts.",1,1.0,0.2564007,2.9,0,1.0,1.3931389,1.25
120,Vaseline is a favorite product for growing eyebrows. Apply twice a day on your eyebrows eyebrows vas line,0,0.0,0.035245225,0.0,1,0.0,0.0,0.0
121,When I found out my toaster wasn't waterproof.... I was shocked.,1,1.0,0.14272895,2.4,0,0.0,0.12774704,0.3
122,"[Driving] My wife: Hey, you missed a right. Me: Thanks babe. You Mrs Right.",1,1.0,0.17676222,1.84,0,1.0,0.0,0.0
123,"Today my son asked, ""Can you lend me a book mark?"" I immediately burst into tears. 12 years old and he doesn't know my name is Brian",1,1.0,0.16263263,2.95,0,1.0,0.0941096,0.0
124,genie: you sure? most people would end world hunger or something me: [going in for my 3rd hug] i'm sure,1,1.0,0.19321173,1.83,0,1.0,0.0,0.0
125,"Hippies got their name from 'hipsters.' Who were marijuana smoking, sarcastic, jazz fans in the 1940s.",1,0.0,0.06529924,0.0,1,0.0,0.0,0.15
126,Where is the worst place to hide in a hospital? In the ICU,1,1.0,0.25684053,2.8,0,0.0,0.5181631,0.3
127,Envy is the consuming desire to have everybody else as unsuccessful as you are,0,0.0,0.0,0.0,1,0.0,0.0,0.15
128,What do a viola and a lawsuit have in common? Everyone is happy when the case is closed.,1,1.0,0.27345124,2.0,0,1.0,0.114951484,0.15
129,Did you know that there are no canaries in the Canary Islands? And the same thing applies to the Virgin Islands; There are no canaries there either.,1,1.0,0.23145951,3.12,0,1.0,0.18077323,0.0
130,"If you leave a baby in a car in summer, with no water or ventilation, it could be dead in fifteen minutes. Leave the heater on as well, wait another thirty minutes and the meat just falls off the bone.",1,1.0,0.3571469,1.95,0,1.0,0.6181316,3.7
131,The Constitution of Mexico was the first document in history to say that every person has the right to an education.,0,0.0,0.032924324,0.0,1,0.0,0.0,0.0
132,"Check on your tribe. Speak love over your people. Forgive. Celebrate each other. Check on your people's health - mental and physical. With sincerity and genuine concern, ask them how they are feeling and if you can support them in their healing journey. Wakanda Forever",0,0.0,0.0,0.0,1,0.0,0.0,0.0
133,"When single ladies get to the age of 50, they tend to get lots of cats. This phenomenon is known as many paws.",1,1.0,0.2531164,2.26,0,1.0,0.18029122,0.5
134,"There was a streaker at the first football game my dad ever took me to. It scarred me for life, mostly because the streaker was my dad.",1,1.0,0.2192613,2.67,0,0.0,0.30236754,0.1
135,"""Humiliation makes you shorter. So yeah, I am scared of getting hurt, 'cause one more personal disaster now, would cut me off at the knees.""",0,1.0,0.0,2.12,1,0.0,0.0,0.1
136,"What's the process for applying to a job at Hooters? They just give you a bra and say ""Here, fill this out.""",1,1.0,0.16432123,2.35,0,0.0,1.4619447,1.3
137,EP 63 we discuss finding the courage to go to therapy. Being accessible as a therapist. Navigating family and coming out. Exit strategies for unsafe family situations. Using the five senses to boost healing. The importance of presenting authentically and thoughts on Robyn/Whitney.,0,0.0,0.0,0.0,1,0.0,0.0,0.0
138,Only about 10% of the world's population is left-handed. Left Handers Day,0,0.0,0.12119797,0.0,1,0.0,0.0,0.0
139,I’ve forgotten how to tell if pasta is done.,1,0.0,0.19256689,0.0,0,0.0,0.0,0.0
140,What do you call it when a person has a fear of Vietnamese food? They have a Pho-bia!,1,1.0,0.20377119,2.4,0,0.0,2.2967844,1.15
141,"""You used to have my trust without trust there ain't no us."" - Rihanna",0,0.0,0.0,0.0,1,0.0,0.0,0.0
142,"Me: I cheated on you Wife: You had an affair with another woman? Me: No, I watched an episode of our TV show without you Wife: That's even worse",1,1.0,0.16011712,2.75,0,1.0,0.0,0.05
143,I hold the door open for people because I'm courteous and also because I like to make them walk faster.,1,1.0,0.122297935,2.68,0,1.0,0.0,0.0
144,Special thanks to those audience members for letting us spray them with purple goo. Y'all are heroes. 200thEpisode,0,0.0,0.0,0.0,1,0.0,0.0,0.1
145,"Be proud of who you are, have gratitude for who you used to be and embrace who you're becoming. This is your journey to learn and grow from.",0,0.0,0.0,0.0,1,0.0,0.0,0.0
146,"This country has become so divided, it might as well be an amoeba. Netflix, where's my comedy special?",1,1.0,0.27594504,1.24,0,0.0,0.0,0.05
147,"*phones Christian radio station ""Can I request Highway To Hell?""",1,1.0,0.19707212,2.63,0,0.0,0.0,0.9
148,"Two deer walk out of a gay bar. One of them turns to the other and says ""I can't believe I blew thirty bucks in there""",1,1.0,0.21830043,2.9,0,0.0,1.7180113,1.3
149,What do you do if you find a black mamba in your toilet? Wait until he's finished.,1,1.0,0.19296968,2.55,0,1.0,2.6181064,1.35
150,I saw a Jewish Ghost last night... It was so scary I started to Shiva.,1,1.0,0.21505147,2.1,0,0.0,2.084826,0.8
151,The 2-4 year old kids sang a Christmas carol in church today. Everyone thought they were cute. But they were off key so I booed them.,1,1.0,0.21290165,1.79,0,0.0,0.16417393,0.35
152,I can't take my dog to the pond anymore because the ducks keep attacking him. Guess that's what I get for having a pure bread dog.,1,1.0,0.23126543,2.5,0,0.0,0.50147647,0.45
153,What do you call a Jewish Pokemon Trainer? Ash.,1,1.0,0.23061436,1.74,0,0.0,1.7504363,3.25
154,Did you hear a Payless Shoe Source got looted in Ferguson? The only thing left were the work boots. too soon,1,1.0,0.27939615,1.68,0,1.0,1.1593324,3.35
155,What so you call an Asian jew? Jew Lee,1,1.0,0.27291036,2.2,0,1.0,2.4872973,3.15
156,"Faking a smile can trick your brain into thinking you're happy, actually boosting your mood.",0,0.0,0.0,0.0,1,0.0,0.0,0.0
157,"I want to watch a chick flick, with my chick, as we eat chick-fil-a on a Sunday",1,1.0,0.17394033,1.8,1,1.0,0.0,0.05
158,What's the difference between a Lamborghini and a pile of dead babies? I don't have a Lamborghini in my garage h,1,1.0,0.27467647,1.5,0,0.0,2.9862096,3.1
159,"Tuna is a rich source of Vitamin D, along with other foods such as meat, mushrooms and eggs vitamin D tuna",0,0.0,0.0,0.0,1,0.0,0.0,0.0
160,"If I was a Muslim, I'd want to hide my face too.",1,1.0,0.28423935,1.24,0,0.0,2.7759967,4.0
161,My wife said she'd leave me if I didn't stop eating Pasta. Now I'm feeling cannelloni.,1,1.0,0.2035587,2.05,0,1.0,0.0,0.0
162,"My girlfriend said, ""You act like a detective too much. I want to split up."" ""Good idea,"" I replied. ""We can cover more ground that way.""",1,1.0,0.22955868,3.35,0,0.0,0.0,0.0
163,"Dear Santa -- For 2017, all I want is a SLIM body and a BIG FAT bank account. Please don't mix it up like last year.",1,1.0,0.29171416,2.85,0,1.0,0.0,0.1
164,A Woodworm walks into a bar... And asks: 'Is the bar tender here?',1,1.0,0.18094632,2.37,0,0.0,0.0,0.0
165,Don't forget you can download all these Aha moments on a free Apple podcast. Super Soul Conversations,0,0.0,0.0,0.0,1,0.0,0.0,0.0
166,Who has fistfights in person? Fight online in the comment section like a normal person.,1,1.0,0.28719482,2.79,0,0.0,0.43885788,0.0
167,"You are either building your own legacy, or helping someone else build theirs",0,0.0,0.0,0.0,1,0.0,0.0,0.0
168,"I received a call from the school telling me my son is constantly lying. I said ""Tell him he's a good liar. I don't have a son.""",1,1.0,0.21486087,2.95,0,0.0,0.0,0.0
169,My kids think Edvard Munch is the guy who did a painting of the scream emoji.,1,1.0,0.16943073,2.21,0,1.0,0.0,0.15
170,Researchers have discovered that bats address each other as individuals and often get into arguments.,0,0.0,0.0,0.0,1,0.0,0.0,0.0
171,"I have a solution to 99% of the racism, homophobia and gender issues in the world.. Let's just kill all the self righteous liberal leftie woke snowflakes. Then we can rationaly deal with injustice, get on with our lives, and all mind our own fucking business.",1,0.0,0.279818,0.0,0,0.0,2.0662649,3.65
172,Why are there no black people at the North Pole? Because there is nothing to steal there,1,1.0,0.22516803,1.79,0,1.0,3.73289,4.5
173,"I never thought I'd say ""I love you"" to another man, but it just kinda came out when the guy at the drive through window handed me my food.",1,1.0,0.086215034,2.74,0,0.0,0.0,0.25
174,"I just tweeted from a desktop computer, just like our ancestors used to",1,1.0,0.07518807,2.06,1,1.0,0.0,0.0
175,honestly it just makes me fat free italian when u tell me salad dressings aren't a good way to describe emotions,1,1.0,0.32251382,1.4,1,0.0,0.69386005,0.3
176,Getting less than the recommended eight hours of sleep a night can make you more susceptible to intrusive and repetitive thoughts; increasing feelings of anxiety and depression.,0,0.0,0.0,0.0,1,0.0,0.0,0.0
177,"Only if family and society were tolerant of gay love, they will know I'm happily dating and greatly in love. But as it stands now, they see me as a bachelor yet to find his bride. Ironically sad.",0,0.0,0.052556396,0.0,1,0.0,0.0,0.2
178,Learning to love yourself is important. Just don't let your wife catch you doing it.,1,1.0,0.25767016,2.53,0,0.0,0.0,0.25
179,"Me: Siri, did The Beatles ever use female backup singers in their songs? Siri: You have a lot of free time for a, quote, busy guy.",1,1.0,0.19181713,1.89,0,1.0,0.0,0.0
180,What is a Cell? something you keep black people in,1,1.0,0.1281181,1.55,0,0.0,3.786446,4.85
181,"Vit E is a fat soluble anti-oxidant which plays a role in skin integrity. Some foods rich in vit E Sunflower Seeds, almonds, papaya, avocado",0,0.0,0.0,0.0,1,0.0,0.0,0.0
182,"I don't dye my hair because I want to look younger... I do it because my grey hair gives the false impression I have maturity and wisdom, and I don't like lying to people.",1,1.0,0.18241069,2.32,0,1.0,0.0,0.05
183,"My wife left me because ""I am addicted to video games"".. I was so sad I could hardly console myself",1,1.0,0.21023168,3.3,0,1.0,0.226005,0.1
184,Let's put a bunch of extra forks out to confuse the stupid people. -fancy restaurants,1,1.0,0.30787513,2.6,1,0.0,0.0,0.65
185,Great candy bar: Charleston Chew. Not as great: Myrtle Beach Masticator.,1,1.0,0.20503892,1.41,0,0.0,0.0,0.15
186,"What do you call sliding into home plate, on a green field in Mexico? Muchas Grassy-ass. ",1,1.0,0.2291714,2.16,0,0.0,0.07820671,1.1
187,"A long time ago, I thought of a soda joke. I'd share it with you, but I'm afraid I think it'd fall flat.",1,1.0,0.19232291,2.25,0,0.0,0.0,0.2
188,How long do you think it will take for gays to find out? That a gay marriage is as much an oxymoron as a gay funeral?,1,1.0,0.2991433,1.0,0,0.0,2.2956703,2.55
189,I showed up late to the Kleptomaniacs Anonymous meeting. All the seats were already taken.,1,1.0,0.1961982,2.84,0,1.0,0.6664932,0.05
